Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Malignant neoplasms,Alzheimer disease,Chronic lower respiratory diseases,Diseases of heart,Cerebrovascular diseases,COVID-19_Multiple Cause of Death,Year,Week,Days_Since_Last_Week,Total_Deaths,Malignancy_Mortality_Rate,Heart_Disease_Mortality_Rate,Natural_Cause_Prop,Month,Season,Seasonal Pattern
27/09/2023,United States,2021,11,2021-03-20,60374,54422,11297,2184,2555,12787,3090,4912,2021,11,7.0,151621,7.450814860738288,8.433528337103699,0.3589344483943517,3,2,Spring
27/09/2023,United States,2021,12,2021-03-27,60841,54996,11426,2252,2678,13123,3127,4465,2021,12,7.0,152908,7.4724671044026465,8.582284772542966,0.3596672508959636,3,2,Spring
27/09/2023,United States,2021,13,2021-04-03,58699,52889,11099,2049,2516,12568,2954,4213,2021,13,7.0,146987,7.55100791226435,8.550416023185724,0.35982093654540875,4,2,Spring
27/09/2023,United States,2021,14,2021-04-10,60998,54675,11570,2186,2617,12971,3063,4325,2021,14,7.0,152405,7.59161444834487,8.510875627440043,0.35874807256979757,4,2,Spring
27/09/2023,United States,2021,15,2021-04-17,59174,53235,11389,1966,2473,12814,3114,4462,2021,15,7.0,148627,7.662806892421969,8.621582888707973,0.35817852745463474,4,2,Spring
27/09/2023,United States,2021,16,2021-04-24,60260,54276,11580,2039,2566,12999,3102,4615,2021,16,7.0,151437,7.646744190653538,8.583767507280255,0.3584064660551913,4,2,Spring
27/09/2023,United States,2021,17,2021-05-01,59833,54013,11621,2125,2618,12832,2945,4181,2021,17,7.0,150168,7.738666027382665,8.545096158968622,0.3596838207873848,5,2,Spring
27/09/2023,United States,2021,18,2021-05-08,59014,52987,11362,2098,2585,12690,2982,4015,2021,18,7.0,147733,7.690901829652143,8.589820825408,0.3586673255129186,5,2,Spring
27/09/2023,United States,2021,19,2021-05-15,58469,52587,11542,2015,2523,12431,2978,3694,2021,19,7.0,146239,7.8925594403681645,8.50046841129931,0.3595962773268417,5,2,Spring
27/09/2023,United States,2021,20,2021-05-22,58774,52637,11601,2165,2622,12413,3012,3246,2021,20,7.0,146470,7.920393254591383,8.474772991056188,0.3593705195603195,5,2,Spring
27/09/2023,United States,2021,21,2021-05-29,57344,51384,11276,2009,2571,12487,2926,2783,2021,21,7.0,142780,7.897464630900686,8.74562263622356,0.3598823364616893,5,2,Spring
27/09/2023,United States,2021,22,2021-06-05,57459,51170,11497,2040,2581,12463,2869,2353,2021,22,7.0,142432,8.071922039991012,8.750140417883621,0.35925915524601215,6,3,Summer
27/09/2023,United States,2021,23,2021-06-12,57160,50783,11356,2092,2617,12448,2866,2049,2021,23,7.0,141371,8.032764852763297,8.805200500809926,0.3592179442742854,6,3,Summer
27/09/2023,United States,2021,24,2021-06-19,57262,50983,11532,2095,2582,12610,2919,1783,2021,24,7.0,141766,8.134531551994131,8.894939548269685,0.359627837422231,6,3,Summer
27/09/2023,United States,2021,25,2021-06-26,56933,50733,11501,1981,2645,12412,2961,1642,2021,25,7.0,140808,8.167859780694279,8.814840065905347,0.36029913073120845,6,3,Summer
27/09/2023,United States,2021,26,2021-07-03,57530,51136,11581,2053,2642,12606,3017,1549,2021,26,7.0,142114,8.149091574369873,8.870343527027599,0.35982380342541903,7,3,Summer
27/09/2023,United States,2021,27,2021-07-10,57219,50732,11511,1972,2602,12504,2882,1650,2021,27,7.0,141072,8.159663150731541,8.863559033684927,0.3596177838266984,7,3,Summer
27/09/2023,United States,2021,28,2021-07-17,57253,51103,11581,2025,2721,12242,2963,1996,2021,28,7.0,141884,8.162301598488906,8.628175128978603,0.3601745087536297,7,3,Summer
27/09/2023,United States,2021,29,2021-07-24,58439,52271,11542,2038,2680,12467,2996,2770,2021,29,7.0,145203,7.948871579788297,8.585910759419571,0.35998567522709585,7,3,Summer
27/09/2023,United States,2021,30,2021-07-31,60317,54154,11652,2137,2591,12786,2918,4126,2021,30,7.0,150681,7.732892667290502,8.485475939235869,0.3593950133062563,7,3,Summer
27/09/2023,United States,2021,31,2021-08-07,63801,57390,11793,2158,2825,12921,2990,6503,2021,31,7.0,160381,7.353115393968114,8.056440600819299,0.3578354044431697,8,3,Summer
27/09/2023,United States,2021,32,2021-08-14,67050,60840,11996,2156,2711,13193,2965,9425,2021,32,7.0,170336,7.042551192936314,7.745279917339847,0.3571764042832989,8,3,Summer
27/09/2023,United States,2021,33,2021-08-21,69962,63769,11882,2193,2794,13146,3068,12207,2021,33,7.0,179021,6.637210159701934,7.343272576960246,0.3562096066941867,8,3,Summer
27/09/2023,United States,2021,34,2021-08-28,72189,65912,11780,2274,2732,13421,2990,14212,2021,34,7.0,185510,6.350061991267316,7.234650423157782,0.35530160099186026,8,3,Summer
27/09/2023,United States,2021,35,2021-09-04,73544,67248,11733,2316,2706,13414,3079,15539,2021,35,7.0,189579,6.1889766271580715,7.075678213304217,0.354722833225199,9,4,Autumn
27/09/2023,United States,2021,36,2021-09-11,73765,67322,11534,2262,2692,13446,3129,15454,2021,36,7.0,189604,6.083204995675197,7.091622539608869,0.3550663488112065,9,4,Autumn
27/09/2023,United States,2021,37,2021-09-18,73317,67119,11845,2379,2805,13157,3056,15246,2021,37,7.0,188924,6.269716923207215,6.964176070800956,0.35526984395841715,9,4,Autumn
27/09/2023,United States,2021,38,2021-09-25,72188,66027,11743,2320,2747,13068,3086,14375,2021,38,7.0,185554,6.328615928516766,7.042693771085506,0.35583711480216,9,4,Autumn
27/09/2023,United States,2021,39,2021-10-02,71350,65107,11901,2304,2757,13248,3065,12858,2021,39,7.0,182590,6.517881592639246,7.255599978092995,0.35657483980502763,10,4,Autumn
27/09/2023,United States,2021,40,2021-10-09,69136,63023,11746,2272,2765,13255,3119,11199,2021,40,7.0,176515,6.654391978018865,7.50927683199728,0.35704047814633316,10,4,Autumn
27/09/2023,United States,2021,41,2021-10-16,67551,61594,11699,2168,2787,13179,3104,9902,2021,41,7.0,171984,6.802376965299098,7.662922132291376,0.3581379663224486,10,4,Autumn
27/09/2023,United States,2021,42,2021-10-23,67064,61156,11752,2296,2736,13212,3176,8957,2021,42,7.0,170349,6.898778390245906,7.755842417624994,0.3590041620438042,10,4,Autumn
27/09/2023,United States,2021,43,2021-10-30,66503,60505,11749,2285,2690,13371,3196,7975,2021,43,7.0,168274,6.982064965472978,7.9459690742479525,0.3595623804033897,10,4,Autumn
27/09/2023,United States,2021,44,2021-11-06,66624,60293,11710,2316,2893,13423,3242,7302,2021,44,7.0,167803,6.97842112477131,7.99926103824127,0.35930823644392534,11,4,Autumn
27/09/2023,United States,2021,45,2021-11-13,67467,61495,11918,2483,2791,13788,3278,7174,2021,45,7.0,170394,6.994377736305268,8.091834219514773,0.3608988579410073,11,4,Autumn
27/09/2023,United States,2021,46,2021-11-20,66990,61055,11650,2421,2809,13822,3205,7327,2021,46,7.0,169279,6.882129502182786,8.165218367310771,0.36067675258006016,11,4,Autumn
27/09/2023,United States,2021,47,2021-11-27,67969,62180,11717,2444,2861,14009,3314,7897,2021,47,7.0,172391,6.796758531477861,8.126294296105947,0.36069168344055086,11,4,Autumn
27/09/2023,United States,2021,48,2021-12-04,70202,64125,11863,2401,2904,14280,3395,8793,2021,48,7.0,177963,6.66599236920034,8.024139849294516,0.36032770856863505,12,1,Winter
27/09/2023,United States,2021,49,2021-12-11,72148,66090,12100,2384,3091,14656,3360,9744,2021,49,7.0,183573,6.591383264423417,7.983744886230546,0.36002026441796997,12,1,Winter
27/09/2023,United States,2021,50,2021-12-18,71336,65423,11672,2432,3056,14378,3357,10268,2021,50,7.0,181922,6.415936500258352,7.903387165928255,0.35962115631974145,12,1,Winter
27/09/2023,United States,2021,51,2021-12-25,72330,66516,11853,2542,3146,14747,3317,10476,2021,51,7.0,184927,6.4095562032585836,7.974498045174583,0.3596878768378874,12,1,Winter
27/09/2023,United States,2021,52,2022-01-01,74452,68520,11673,2496,3181,15020,3351,11700,2022,52,7.0,190393,6.131002715435967,7.888945496945792,0.35988718072618214,1,1,Winter
27/09/2023,United States,2022,1,2022-01-08,79866,73852,11972,2617,3410,16185,3486,15155,2022,1,7.0,206543,5.796371699839742,7.836140658361697,0.3575623477919852,1,1,Winter
27/09/2023,United States,2022,2,2022-01-15,85133,79112,12284,3008,3326,16538,3794,19132,2022,2,7.0,222327,5.5251948706185035,7.438592703540281,0.3558362232207514,1,1,Winter
27/09/2023,United States,2022,3,2022-01-22,85747,79835,11979,2945,3223,16218,3833,21394,2022,3,7.0,225174,5.319885954861574,7.202430120706653,0.354548038405855,1,1,Winter
27/09/2023,United States,2022,4,2022-01-29,85126,79244,11917,2982,3273,16073,3770,21016,2022,4,7.0,223401,5.334353919633305,7.194685789231024,0.3547164068200232,1,1,Winter
27/09/2023,United States,2022,5,2022-02-05,81392,75280,11772,2956,3118,15513,3546,18797,2022,5,7.0,212374,5.543051409306224,7.304566472355373,0.35446900279695254,2,1,Winter
27/09/2023,United States,2022,6,2022-02-12,77317,71096,11852,2753,3040,14992,3639,15351,2022,6,7.0,200040,5.924815036992602,7.494501099780044,0.35540891821635673,2,1,Winter
27/09/2023,United States,2022,7,2022-02-19,71068,64980,11665,2503,2887,14388,3360,11591,2022,7,7.0,182442,6.393812828186491,7.886341960732726,0.3561679876344263,2,1,Winter
27/09/2023,United States,2022,8,2022-02-26,66225,60337,11271,2419,2801,13706,3361,8302,2022,8,7.0,168422,6.692118606832836,8.13789172435905,0.35824892234981176,2,1,Winter
27/09/2023,United States,2022,9,2022-03-05,64574,58456,11559,2317,2780,13685,3309,6056,2022,9,7.0,162736,7.10291515091928,8.409325533379215,0.3592075508799528,3,2,Spring
27/09/2023,United States,2022,10,2022-03-12,61932,55903,11516,2179,2776,13518,3220,4411,2022,10,7.0,155455,7.4079315557556855,8.695764047473546,0.3596088900324853,3,2,Spring
27/09/2023,United States,2022,11,2022-03-19,60660,54664,11565,2142,2835,13438,3117,3129,2022,11,7.0,151550,7.631144836687562,8.867040580666446,0.3606994391290003,3,2,Spring
27/09/2023,United States,2022,12,2022-03-26,58674,53005,11417,2107,2687,12926,3053,2511,2022,12,7.0,146380,7.799562781800792,8.830441317119824,0.36210547889055883,3,2,Spring
27/09/2023,United States,2022,13,2022-04-02,58157,52456,11502,2053,2725,12853,3117,1910,2022,13,7.0,144773,7.944851595256021,8.878036650480407,0.36233275541710125,4,2,Spring
27/09/2023,United States,2022,14,2022-04-09,57946,52197,11459,2110,2724,13099,3042,1559,2022,14,7.0,144136,7.950130432369429,9.087944718876617,0.36213714824887605,4,2,Spring
27/09/2023,United States,2022,15,2022-04-16,57937,52180,11482,2138,2698,13024,3080,1410,2022,15,7.0,143949,7.976436098896136,9.047648820068218,0.3624894928064801,4,2,Spring
27/09/2023,United States,2022,16,2022-04-23,56807,51141,11317,2041,2664,12816,3142,1347,2022,16,7.0,141275,8.010617589807113,9.071668731198018,0.3619961068837374,4,2,Spring
27/09/2023,United States,2022,17,2022-04-30,57413,51615,11414,2084,2713,12782,3077,1427,2022,17,7.0,142525,8.008419575513068,8.968251184002806,0.3621469917558323,4,2,Spring
27/09/2023,United States,2022,18,2022-05-07,57571,51629,11253,2149,2846,12864,2970,1433,2022,18,7.0,142715,7.884945520793189,9.013768699856357,0.36176295413936865,5,2,Spring
27/09/2023,United States,2022,19,2022-05-14,58005,52035,11604,2096,2659,12984,2965,1675,2022,19,7.0,144023,8.057046443970755,9.015226734618777,0.3612964595932594,5,2,Spring
27/09/2023,United States,2022,20,2022-05-21,57785,51849,11665,2060,2805,12643,2981,1747,2022,20,7.0,143535,8.126937680705055,8.808304594698157,0.3612289685442575,5,2,Spring
27/09/2023,United States,2022,21,2022-05-28,57200,51405,11359,2158,2640,12455,3001,1944,2022,21,7.0,142162,7.9901802169356095,8.761131666690114,0.36159451892910904,5,2,Spring
27/09/2023,United States,2022,22,2022-06-04,57700,51569,11333,2170,2725,12590,2981,2010,2022,22,7.0,143078,7.920854359160738,8.799396133577488,0.36042578174142775,6,3,Summer
27/09/2023,United States,2022,23,2022-06-11,58184,52001,11640,2166,2634,12751,2967,2140,2022,23,7.0,144483,8.056311123107909,8.825259719136508,0.3599108545642048,6,3,Summer
27/09/2023,United States,2022,24,2022-06-18,57941,51706,11200,2081,2677,12774,2996,2200,2022,24,7.0,143575,7.800800975100122,8.897092112136514,0.3601323350165419,6,3,Summer
27/09/2023,United States,2022,25,2022-06-25,58438,52175,11566,2053,2671,12772,2982,2333,2022,25,7.0,144990,7.977101869094421,8.808883371266985,0.35985240361404236,6,3,Summer
27/09/2023,United States,2022,26,2022-07-02,58258,52004,11657,2116,2564,12694,2977,2428,2022,26,7.0,144698,8.056089234129013,8.772754288241718,0.35939681267190976,7,3,Summer
27/09/2023,United States,2022,27,2022-07-09,58309,51925,11407,2120,2573,12617,3014,2592,2022,27,7.0,144557,7.891004932310438,8.728044992632663,0.359200868861418,7,3,Summer
27/09/2023,United States,2022,28,2022-07-16,58600,52334,11460,2089,2527,12797,2952,2937,2022,28,7.0,145696,7.865692949703493,8.783357127168898,0.3591999780364595,7,3,Summer
27/09/2023,United States,2022,29,2022-07-23,59936,53543,11700,2192,2570,12877,3081,3235,2022,29,7.0,149134,7.845293494441242,8.634516609223919,0.35902611074604046,7,3,Summer
27/09/2023,United States,2022,30,2022-07-30,58926,52788,11631,2108,2450,12815,2911,3407,2022,30,7.0,147036,7.910307679751898,8.715552653771866,0.35901411899126745,7,3,Summer
27/09/2023,United States,2022,31,2022-08-06,59350,52996,11578,2194,2623,12820,2949,3378,2022,31,7.0,147888,7.828897544087418,8.668722276317213,0.3583522665801147,8,3,Summer
27/09/2023,United States,2022,32,2022-08-13,58773,52481,11672,2055,2495,12535,2933,3291,2022,32,7.0,146235,7.981673334017164,8.571819331897288,0.3588812527780627,8,3,Summer
27/09/2023,United States,2022,33,2022-08-20,58615,52776,11695,2124,2530,12560,3097,3171,2022,33,7.0,146568,7.979231482997654,8.56940123355712,0.3600785983297855,8,3,Summer
27/09/2023,United States,2022,34,2022-08-27,58419,52399,11558,2162,2521,12570,2998,3054,2022,34,7.0,145681,7.93377310699405,8.628441594991797,0.35968314330626505,8,3,Summer
27/09/2023,United States,2022,35,2022-09-03,58248,52041,11880,2078,2582,12298,2994,2931,2022,35,7.0,145052,8.190166285194275,8.478338802636296,0.3587747842153159,9,4,Autumn
27/09/2023,United States,2022,36,2022-09-10,58830,52446,11550,2102,2523,12750,2984,2810,2022,36,7.0,145995,7.911229836638241,8.733175793691565,0.35923148053015513,9,4,Autumn
27/09/2023,United States,2022,37,2022-09-17,58397,52468,11803,2179,2610,12511,2994,2516,2022,37,7.0,145478,8.113254237754163,8.599925761970882,0.36065934368083147,9,4,Autumn
27/09/2023,United States,2022,38,2022-09-24,58885,52834,11834,2167,2602,12592,3083,2547,2022,38,7.0,146544,8.075390326454853,8.592641118025986,0.36053335516977836,9,4,Autumn
27/09/2023,United States,2022,39,2022-10-01,58687,52749,11702,2130,2597,12641,3066,2379,2022,39,7.0,145951,8.017759384999074,8.661125994340567,0.36141581763742625,10,4,Autumn
27/09/2023,United States,2022,40,2022-10-08,59702,53486,11889,2283,2694,12736,3157,2197,2022,40,7.0,148144,8.025299708391834,8.597040717140079,0.3610406091370558,10,4,Autumn
27/09/2023,United States,2022,41,2022-10-15,59870,53842,11815,2254,2662,13122,3111,2146,2022,41,7.0,148822,7.939014393033288,8.817244762199138,0.3617879077018183,10,4,Autumn
27/09/2023,United States,2022,42,2022-10-22,60247,54300,11706,2341,2838,13136,3119,2193,2022,42,7.0,149880,7.810248198558847,8.764344809180677,0.3622898318654924,10,4,Autumn
27/09/2023,United States,2022,43,2022-10-29,60193,54394,11698,2372,2721,13250,3191,2245,2022,43,7.0,150064,7.795340654654015,8.829566051817892,0.3624720119415716,10,4,Autumn
